,dice_coef
0,0.9759781901312816
1,0.986188060013772
2,0.9770641119160269
3,0.9887796859341513
4,0.9897305788766452
5,0.9879832202529372
6,0.9881011781593403
7,0.9882214018619131
8,0.9937553728361432
9,0.9892749031626542
