,dice_coef
0,0.9857614331043547
1,0.9932522862743987
2,0.9911382452099987
3,0.9935390974395922
4,0.9927377165366436
5,0.9886782261504317
6,0.9922318286882683
7,0.9890857150828166
8,0.9931259087366833
9,0.9901149906802413
